1087;21;215
1134;34;213
1231;43;216
1042;32;194
1088;22;218
1135;35;214
1232;44;394
1043;33;191
1564;20;209
1897;33;199
1356;47;211
1110;40;184
1450;23;188
1763;43;75
1156;30;70
1167;43;79
1189;52;76
1089;39;63
1078;41;58
1534;42;151
1214;61;94
1445;29;69
1634;41;78
1806;40;60
1643;44;81
1698;30;79
1827;34;90
1284;32;72
1512;36;69
1309;34;66
1428;48;64
1578;36;79
1423;48;82
1489;48;74
1742;36;82
1467;49;80
1378;27;86
1234;39;88
1719;32;83
1259;32;79
1301;44;68
1656;52;61
1403;53;73
1976;52;79
1784;47;71
1612;41;73
1678;41;61
1848;38;73
1556;43;80
1298;44;75
